name,tags,time,distance,value
meas_test,,1641765186869453353,bad,10
meas_test,,1641765189075207505,optimum,53
meas_test,,1641765189726950041,bad,47
meas_test,,1641765190263320537,out,535
meas_test,,1641765190799828538,optimum,56
meas_test,,1641765191314001810,out,535
meas_test,,1641765191796481310,optimum,55
meas_test,,1641765192279823766,out,535
meas_test,,1641765193151619081,bad,35
meas_test,,1641765193896251840,out,173
meas_test,,1641765194688989942,optimum,56
meas_test,,1641765195278558489,bad,10
meas_test,,1641765581897398914,optimum,66
meas_test,,1641765585124162061,bad,326
meas_test,,1641765587316034149,optimum,54
